id,skill,category,proficiency,team,members,notes
537,Mocha,Frontend,5,Observability Team,10,Used by Observability Team
538,EC2,Monitoring,4,Observability Team,2,Used by Observability Team
539,CloudFormation,Frontend,5,Observability Team,4,
540,New Relic,Data,2,Observability Team,4,
541,ArgoCD,Monitoring,1,Network Team,2,
542,Terraform,Monitoring,4,Network Team,10,
543,Python,Data,1,Network Team,5,
544,JUnit,Data,5,Network Team,11,
545,ActiveMQ,Frontend,1,Network Team,5,
546,gRPC,Database,1,Network Team,11,
547,PyTest,Cloud,3,Network Team,12,Used by Network Team
548,ELK Stack,Frontend,4,Network Team,3,
549,CircleCI,Cloud,1,Network Team,12,
550,Oracle,Cloud,1,Network Team,5,
551,Spring Boot,Database,5,Network Team,5,
552,Django,Monitoring,5,Network Team,4,Used by Network Team
553,Vault,Cloud,4,Network Team,8,
554,React,API,2,Network Team,10,
555,Splunk,Security,5,Network Team,9,
556,Scala,DevOps,1,Network Team,11,
557,Gin,Testing,1,Network Team,10,
558,Travis CI,Monitoring,4,Network Team,3,
559,Consul,DevOps,3,Network Team,10,
560,SonarQube,Security,4,Network Team,6,Used by Network Team
561,Java,Frontend,5,Storage Team,8,Used by Storage Team
562,RabbitMQ,Frontend,3,Storage Team,8,
563,Ruby on Rails,API,1,Storage Team,2,
564,Cognito,Testing,2,Storage Team,3,
565,TypeScript,Frontend,4,Storage Team,7,
566,Spring Boot,Backend,4,Storage Team,11,
567,Postman,Frontend,3,Storage Team,12,
568,CircleCI,Data,1,Storage Team,12,
569,Redis,Database,4,Storage Team,2,
570,Splunk,Frontend,1,Storage Team,2,
571,IAM,Backend,2,Storage Team,2,Used by Storage Team
572,Chef,Frontend,3,Storage Team,12,
573,Kafka,DevOps,5,Storage Team,5,
574,Consul,Cloud,2,Storage Team,7,
575,JavaScript,Database,3,Storage Team,12,Used by Storage Team
576,Cucumber,Testing,2,Storage Team,9,
577,Route53,Database,2,Storage Team,8,
578,Laravel,Monitoring,2,Storage Team,11,
579,Step Functions,Cloud,1,Storage Team,3,Used by Storage Team
580,Gin,Cloud,3,Storage Team,8,
581,Vault,Monitoring,4,Compute Team,9,
582,Swift,Data,1,Compute Team,10,Used by Compute Team
583,Prometheus,Security,2,Compute Team,11,
584,PostgreSQL,Monitoring,1,Compute Team,9,Used by Compute Team
585,CouchDB,Data,1,Compute Team,4,
586,EC2,Security,3,Compute Team,5,Used by Compute Team
587,CloudFormation,Data,1,Compute Team,4,
588,F#,Data,4,Compute Team,8,
589,Redis,API,5,Compute Team,2,Used by Compute Team
590,PyTest,Cloud,2,Compute Team,11,
591,Kafka,Database,5,Compute Team,3,
592,Terraform,Monitoring,3,Compute Team,5,
593,Puppet,Security,3,Compute Team,6,
594,Clojure,Security,4,Compute Team,8,
595,ECS,Testing,1,Compute Team,3,
596,TestNG,Database,1,Compute Team,2,Used by Compute Team
597,RSpec,Database,5,Compute Team,10,
598,gRPC,DevOps,1,Compute Team,5,
599,Splunk,Cloud,3,Compute Team,12,
600,JavaScript,Security,4,Compute Team,7,Used by Compute Team
601,Django,DevOps,4,AI/ML Team,5,
602,Istio,Backend,5,AI/ML Team,4,
603,Helm,API,4,AI/ML Team,9,Used by AI/ML Team
604,CouchDB,Frontend,4,AI/ML Team,4,
605,Oracle,Backend,4,AI/ML Team,9,
606,GitHub Actions,Database,3,AI/ML Team,8,
607,EventBridge,DevOps,3,AI/ML Team,12,Used by AI/ML Team
608,RSpec,Testing,5,AI/ML Team,8,
609,AWS Lambda,Database,3,AI/ML Team,12,Used by AI/ML Team
610,SonarQube,Database,3,AI/ML Team,6,
611,Scala,Data,2,AI/ML Team,3,
612,Playwright,DevOps,2,AI/ML Team,12,
613,IAM,Monitoring,2,AI/ML Team,11,Used by AI/ML Team
614,Gin,API,3,AI/ML Team,4,
615,Vault,Monitoring,4,AI/ML Team,11,Used by AI/ML Team
616,MongoDB,Testing,5,AI/ML Team,3,
617,Docker,Backend,2,AI/ML Team,8,
618,MariaDB,DevOps,1,AI/ML Team,9,Used by AI/ML Team
619,WebSockets,Frontend,2,AI/ML Team,2,Used by AI/ML Team
620,Python,DevOps,5,AI/ML Team,9,
621,Flux,Database,5,Data Science Team,2,Used by Data Science Team
622,JavaScript,Cloud,3,Data Science Team,6,
623,gRPC,Backend,4,Data Science Team,7,
624,Cypress,Backend,4,Data Science Team,6,
625,FastAPI,DevOps,5,Data Science Team,6,Used by Data Science Team
626,ActiveMQ,Testing,4,Data Science Team,12,
627,MariaDB,Security,3,Data Science Team,3,
628,Express.js,Database,2,Data Science Team,6,
629,Kafka,Testing,3,Data Science Team,3,
630,Google Cloud Functions,API,2,Data Science Team,12,
631,MongoDB,Testing,1,Data Science Team,8,Used by Data Science Team
632,CloudFormation,Testing,4,Data Science Team,8,
633,Django,Security,1,Data Science Team,11,
634,Elasticsearch,Frontend,5,Data Science Team,4,Used by Data Science Team
635,Istio,API,5,Data Science Team,8,
636,Swift,Monitoring,4,Data Science Team,11,Used by Data Science Team
637,Clojure,Monitoring,1,Data Science Team,5,
638,Chef,Database,4,Data Science Team,6,Used by Data Science Team
639,Lambda,API,2,Data Science Team,4,Used by Data Science Team
640,Helm,Cloud,4,Data Science Team,12,
641,Postman,Backend,4,Business Intelligence Team,6,
642,Kustomize,Backend,2,Business Intelligence Team,12,
643,PHP,Backend,2,Business Intelligence Team,6,
644,X-Ray,Data,4,Business Intelligence Team,3,
645,Helm,Cloud,5,Business Intelligence Team,4,
646,Cucumber,DevOps,3,Business Intelligence Team,9,Used by Business Intelligence Team
647,SQS,DevOps,5,Business Intelligence Team,7,
648,C#,Security,5,Business Intelligence Team,2,
649,ELK Stack,API,2,Business Intelligence Team,11,
650,RabbitMQ,Backend,2,Business Intelligence Team,7,Used by Business Intelligence Team
651,Azure Functions,Cloud,3,Business Intelligence Team,6,Used by Business Intelligence Team
652,CloudFormation,Testing,5,Business Intelligence Team,2,
653,Route53,Data,1,Business Intelligence Team,12,Used by Business Intelligence Team
654,React,Monitoring,1,Business Intelligence Team,10,
655,Step Functions,Testing,5,Business Intelligence Team,12,Used by Business Intelligence Team
656,API Gateway,Monitoring,3,Business Intelligence Team,2,Used by Business Intelligence Team
657,Datadog,Frontend,3,Business Intelligence Team,2,
658,Neo4j,Backend,1,Business Intelligence Team,12,Used by Business Intelligence Team
659,MySQL,Cloud,5,Business Intelligence Team,6,
660,Java,Backend,3,Business Intelligence Team,8,Used by Business Intelligence Team
661,Clojure,API,2,ETL Team,5,
662,C#,Database,4,ETL Team,2,
663,Travis CI,DevOps,1,ETL Team,9,Used by ETL Team
664,Mocha,Security,3,ETL Team,11,
665,Datadog,Testing,5,ETL Team,12,Used by ETL Team
666,Redis,Cloud,3,ETL Team,8,
667,Route53,Frontend,1,ETL Team,4,Used by ETL Team
668,Spring Boot,Cloud,1,ETL Team,10,Used by ETL Team
669,Chef,Monitoring,5,ETL Team,9,Used by ETL Team
670,GitLab CI,API,3,ETL Team,2,
671,JavaScript,Frontend,3,ETL Team,4,
672,Linkerd,Testing,2,ETL Team,2,
673,New Relic,Database,1,ETL Team,8,
674,React,Security,1,ETL Team,10,
675,GitHub Actions,Data,2,ETL Team,9,
676,Consul,Monitoring,4,ETL Team,3,
677,ArgoCD,Data,4,ETL Team,6,Used by ETL Team
678,gRPC,Testing,5,ETL Team,3,
679,SQS,DevOps,4,ETL Team,5,
680,Python,DevOps,3,ETL Team,11,
681,Spring Boot,Monitoring,5,Streaming Team,3,Used by Streaming Team
682,Elixir,Frontend,1,Streaming Team,10,
683,Grafana,Frontend,4,Streaming Team,8,
684,PHP,Cloud,1,Streaming Team,12,
685,TypeScript,Data,3,Streaming Team,6,Used by Streaming Team
686,Scala,Frontend,2,Streaming Team,4,
687,Rust,Security,2,Streaming Team,3,Used by Streaming Team
688,JUnit,Backend,2,Streaming Team,4,Used by Streaming Team
689,GraphQL,DevOps,3,Streaming Team,4,
690,CouchDB,Data,1,Streaming Team,11,
691,ELK Stack,Database,4,Streaming Team,10,
692,Consul,DevOps,4,Streaming Team,6,Used by Streaming Team
693,Lambda,Testing,3,Streaming Team,2,
694,Step Functions,Backend,5,Streaming Team,12,
695,Playwright,Monitoring,5,Streaming Team,12,
696,TestNG,API,2,Streaming Team,7,
697,EKS,DevOps,4,Streaming Team,8,
698,Laravel,API,2,Streaming Team,6,
699,Ruby,DevOps,4,Streaming Team,11,
700,Datadog,Testing,1,Streaming Team,10,
701,CouchDB,Testing,1,Batch Processing Team,11,
702,Grafana,Security,1,Batch Processing Team,8,
703,FastAPI,Monitoring,5,Batch Processing Team,8,
704,S3,Monitoring,3,Batch Processing Team,3,Used by Batch Processing Team
705,Kotlin,Monitoring,4,Batch Processing Team,7,
706,Vue.js,Security,4,Batch Processing Team,7,
707,Cognito,Cloud,4,Batch Processing Team,4,
708,Jest,DevOps,2,Batch Processing Team,12,
709,Flask,Database,3,Batch Processing Team,8,Used by Batch Processing Team
710,CloudFront,Security,4,Batch Processing Team,12,Used by Batch Processing Team
711,GraphQL,API,2,Batch Processing Team,5,
712,Cucumber,Database,1,Batch Processing Team,9,Used by Batch Processing Team
713,Mocha,Security,1,Batch Processing Team,11,
714,C#,Data,2,Batch Processing Team,6,Used by Batch Processing Team
715,CloudWatch,Cloud,5,Batch Processing Team,2,
716,Linkerd,Data,2,Batch Processing Team,6,
717,F#,Data,3,Batch Processing Team,7,
718,Step Functions,DevOps,2,Batch Processing Team,6,Used by Batch Processing Team
719,Express.js,Security,2,Batch Processing Team,9,
720,Laravel,Data,4,Batch Processing Team,4,
721,Scala,Database,3,Real-time Team,5,Used by Real-time Team
722,WebSockets,Security,5,Real-time Team,4,Used by Real-time Team
723,Playwright,Cloud,4,Real-time Team,6,
724,Datadog,Monitoring,4,Real-time Team,8,
725,Docker,Security,3,Real-time Team,10,Used by Real-time Team
726,GraphQL,Data,3,Real-time Team,2,
727,MariaDB,API,5,Real-time Team,6,
728,GitHub Actions,Data,1,Real-time Team,9,Used by Real-time Team
729,Haskell,Data,2,Real-time Team,9,Used by Real-time Team
730,RabbitMQ,Frontend,4,Real-time Team,5,Used by Real-time Team
731,Postman,Frontend,4,Real-time Team,5,
732,Echo,Data,2,Real-time Team,2,
733,Vue.js,Cloud,1,Real-time Team,6,
734,Express.js,Cloud,2,Real-time Team,10,Used by Real-time Team
735,Prometheus,Cloud,3,Real-time Team,4,Used by Real-time Team
736,Consul,Frontend,5,Real-time Team,12,
737,Ansible,API,1,Real-time Team,7,Used by Real-time Team
738,CloudFront,DevOps,1,Real-time Team,12,
739,Lambda,Cloud,1,Real-time Team,4,
740,ELK Stack,Frontend,5,Real-time Team,12,Used by Real-time Team
741,Neo4j,Frontend,3,Microservices Team,5,
742,PostgreSQL,Testing,3,Microservices Team,11,
743,Postman,API,2,Microservices Team,12,Used by Microservices Team
744,Laravel,Database,2,Microservices Team,5,
745,Prometheus,Monitoring,2,Microservices Team,4,Used by Microservices Team
746,Kotlin,Testing,3,Microservices Team,11,Used by Microservices Team
747,RSpec,API,5,Microservices Team,11,
748,Docker,Cloud,2,Microservices Team,3,
749,New Relic,Database,4,Microservices Team,5,
750,React,Security,4,Microservices Team,11,
751,Route53,Monitoring,3,Microservices Team,8,
752,gRPC,Monitoring,1,Microservices Team,9,
753,Chef,Backend,3,Microservices Team,6,Used by Microservices Team
754,GitLab CI,Database,1,Microservices Team,9,Used by Microservices Team
755,CouchDB,Frontend,3,Microservices Team,7,
756,SQL Server,Data,3,Microservices Team,8,
757,C#,Backend,1,Microservices Team,10,Used by Microservices Team
758,PHP,API,1,Microservices Team,9,Used by Microservices Team
759,TypeScript,Database,3,Microservices Team,11,
760,Ruby on Rails,Monitoring,2,Microservices Team,4,
761,Travis CI,Testing,5,Monolith Team,11,
762,MongoDB,Security,5,Monolith Team,5,Used by Monolith Team
763,FastAPI,Database,1,Monolith Team,4,Used by Monolith Team
764,Laravel,Data,3,Monolith Team,5,
765,Istio,Frontend,4,Monolith Team,2,
766,Go,Testing,5,Monolith Team,5,Used by Monolith Team
767,Elasticsearch,Frontend,5,Monolith Team,10,
768,Fargate,Monitoring,3,Monolith Team,6,
769,SNS,Data,2,Monolith Team,6,
770,Route53,Database,2,Monolith Team,4,
771,Grafana,Security,5,Monolith Team,5,
772,Flux,Backend,1,Monolith Team,12,
773,Express.js,Backend,4,Monolith Team,12,Used by Monolith Team
774,Angular,Cloud,1,Monolith Team,9,
775,Flask,Monitoring,2,Monolith Team,9,
776,Cucumber,Cloud,2,Monolith Team,6,Used by Monolith Team
777,Mocha,Testing,2,Monolith Team,5,
778,CircleCI,Security,2,Monolith Team,6,Used by Monolith Team
779,Puppet,API,3,Monolith Team,12,
780,Step Functions,API,4,Monolith Team,11,
781,Scala,Database,4,Legacy Team,2,Used by Legacy Team
782,Express.js,Backend,1,Legacy Team,11,Used by Legacy Team
783,Lambda,API,5,Legacy Team,2,Used by Legacy Team
784,Docker,Database,3,Legacy Team,9,Used by Legacy Team
785,RSpec,DevOps,1,Legacy Team,7,
786,Datadog,API,1,Legacy Team,7,
787,Prometheus,API,4,Legacy Team,6,
788,Selenium,API,3,Legacy Team,7,Used by Legacy Team
789,Spring Boot,Monitoring,5,Legacy Team,6,
790,GitLab CI,Security,5,Legacy Team,3,
791,S3,Data,5,Legacy Team,11,
792,Helm,Frontend,5,Legacy Team,4,
793,RabbitMQ,Data,4,Legacy Team,6,Used by Legacy Team
794,Istio,API,4,Legacy Team,12,
795,Cognito,API,1,Legacy Team,2,
796,Kotlin,Data,1,Legacy Team,9,
797,Go,Testing,3,Legacy Team,10,
798,EKS,Data,2,Legacy Team,4,Used by Legacy Team
799,CloudWatch,API,2,Legacy Team,7,Used by Legacy Team
800,Cassandra,API,3,Legacy Team,9,
801,ActiveMQ,Database,1,Modernization Team,10,
802,Kustomize,DevOps,2,Modernization Team,5,
803,Cognito,Frontend,1,Modernization Team,6,
804,Route53,Frontend,5,Modernization Team,3,Used by Modernization Team
805,SonarQube,Cloud,5,Modernization Team,7,
806,SQS,API,3,Modernization Team,2,
807,Linkerd,Security,2,Modernization Team,8,Used by Modernization Team
808,Jenkins,Frontend,1,Modernization Team,2,
809,Azure Functions,Testing,5,Modernization Team,12,
810,TestNG,Data,3,Modernization Team,9,Used by Modernization Team
811,Cassandra,Testing,4,Modernization Team,12,Used by Modernization Team
812,JavaScript,Backend,1,Modernization Team,7,Used by Modernization Team
813,Puppet,API,3,Modernization Team,10,Used by Modernization Team
814,CouchDB,Testing,5,Modernization Team,8,
815,Redis,Frontend,2,Modernization Team,4,
816,Elixir,Frontend,5,Modernization Team,2,
817,TypeScript,Database,3,Modernization Team,9,Used by Modernization Team
818,ELK Stack,DevOps,3,Modernization Team,8,Used by Modernization Team
819,Helm,Monitoring,1,Modernization Team,2,
820,Ansible,Database,1,Modernization Team,2,
821,CircleCI,Database,5,Migration Team,3,
822,JavaScript,Cloud,3,Migration Team,12,Used by Migration Team
823,ECS,Database,1,Migration Team,2,Used by Migration Team
824,Playwright,Frontend,3,Migration Team,3,
825,RSpec,Backend,2,Migration Team,11,Used by Migration Team
826,Kustomize,Frontend,3,Migration Team,12,
827,Elixir,Backend,3,Migration Team,7,
828,Django,Backend,1,Migration Team,12,
829,TestNG,Security,1,Migration Team,5,
830,REST API,Monitoring,3,Migration Team,11,
831,EventBridge,Database,4,Migration Team,7,
832,Haskell,DevOps,4,Migration Team,11,
833,Chef,Cloud,4,Migration Team,5,Used by Migration Team
834,Laravel,Testing,4,Migration Team,5,
835,Jenkins,Frontend,5,Migration Team,2,
836,New Relic,Security,5,Migration Team,7,
837,RabbitMQ,Data,4,Migration Team,6,
838,IAM,Testing,3,Migration Team,10,Used by Migration Team
839,Kafka,DevOps,1,Migration Team,2,
840,Elasticsearch,Data,2,Migration Team,2,Used by Migration Team
841,Ruby,Security,3,Transformation Team,5,
842,Jest,API,2,Transformation Team,11,Used by Transformation Team
843,Azure Functions,Cloud,5,Transformation Team,10,Used by Transformation Team
844,RabbitMQ,Cloud,1,Transformation Team,4,
845,Istio,Backend,4,Transformation Team,9,
846,ActiveMQ,Security,3,Transformation Team,12,
847,SQS,API,2,Transformation Team,12,Used by Transformation Team
848,Selenium,Security,3,Transformation Team,2,Used by Transformation Team
849,SNS,Frontend,3,Transformation Team,5,
850,CircleCI,Cloud,3,Transformation Team,3,
851,Puppet,Backend,4,Transformation Team,8,Used by Transformation Team
852,Scala,Database,2,Transformation Team,3,Used by Transformation Team
853,ECS,Cloud,1,Transformation Team,5,
854,Ansible,Backend,2,Transformation Team,4,
855,AWS Lambda,Database,4,Transformation Team,8,
856,Spring Boot,Cloud,4,Transformation Team,5,
857,Step Functions,Security,5,Transformation Team,3,Used by Transformation Team
858,JUnit,Testing,4,Transformation Team,9,Used by Transformation Team
859,Swift,Data,2,Transformation Team,10,Used by Transformation Team
860,Python,Monitoring,5,Transformation Team,7,Used by Transformation Team
861,Travis CI,Data,2,Digital Team,7,
862,FastAPI,Monitoring,1,Digital Team,11,Used by Digital Team
863,Grafana,Testing,4,Digital Team,8,
864,Neo4j,API,3,Digital Team,8,Used by Digital Team
865,TestNG,Monitoring,1,Digital Team,3,
866,EC2,Security,3,Digital Team,3,
867,EventBridge,Monitoring,5,Digital Team,2,
868,DynamoDB,Data,1,Digital Team,4,Used by Digital Team
869,ELK Stack,Data,2,Digital Team,2,Used by Digital Team
870,Azure Functions,Backend,1,Digital Team,10,Used by Digital Team
871,GitHub Actions,Database,3,Digital Team,2,
872,IAM,Cloud,3,Digital Team,9,
873,TypeScript,API,4,Digital Team,3,Used by Digital Team
874,Flask,Testing,3,Digital Team,2,
875,MongoDB,Testing,2,Digital Team,5,
876,JavaScript,Cloud,2,Digital Team,5,
877,Route53,Cloud,2,Digital Team,3,
878,RSpec,Backend,5,Digital Team,7,
879,Echo,Data,5,Digital Team,10,Used by Digital Team
880,Mocha,DevOps,5,Digital Team,8,
881,PHP,Database,4,Customer Experience Team,8,
882,Google Cloud Functions,API,5,Customer Experience Team,10,Used by Customer Experience Team
883,CloudFormation,Backend,4,Customer Experience Team,9,Used by Customer Experience Team
884,New Relic,API,5,Customer Experience Team,3,
885,RSpec,Security,3,Customer Experience Team,4,Used by Customer Experience Team
886,Linkerd,DevOps,3,Customer Experience Team,12,
887,RabbitMQ,Database,1,Customer Experience Team,5,Used by Customer Experience Team
888,Terraform,Security,2,Customer Experience Team,10,
889,Cucumber,Security,5,Customer Experience Team,8,
890,SQL Server,Monitoring,5,Customer Experience Team,10,Used by Customer Experience Team
891,Selenium,Testing,3,Customer Experience Team,6,Used by Customer Experience Team
892,Swift,Monitoring,5,Customer Experience Team,5,
893,ECS,Testing,5,Customer Experience Team,8,
894,Elixir,Testing,3,Customer Experience Team,3,
895,EventBridge,API,3,Customer Experience Team,7,Used by Customer Experience Team
896,ASP.NET Core,Database,4,Customer Experience Team,10,
897,Azure Functions,Frontend,2,Customer Experience Team,8,Used by Customer Experience Team
898,ELK Stack,DevOps,5,Customer Experience Team,11,
899,Spring Boot,Database,3,Customer Experience Team,8,Used by Customer Experience Team
900,Haskell,API,2,Customer Experience Team,5,Used by Customer Experience Team
901,CloudFormation,Data,4,Partner Integration Team,6,
902,Kotlin,Testing,2,Partner Integration Team,3,
903,CircleCI,Cloud,4,Partner Integration Team,4,
904,Consul,DevOps,5,Partner Integration Team,12,
905,Vault,Cloud,5,Partner Integration Team,10,Used by Partner Integration Team
906,Cypress,API,1,Partner Integration Team,5,
907,AWS Lambda,Backend,2,Partner Integration Team,7,Used by Partner Integration Team
908,Selenium,Database,1,Partner Integration Team,10,
909,MariaDB,Database,3,Partner Integration Team,2,
910,Clojure,Backend,1,Partner Integration Team,6,
911,MongoDB,Security,1,Partner Integration Team,8,
912,CouchDB,Database,3,Partner Integration Team,6,
913,Fargate,Monitoring,1,Partner Integration Team,7,Used by Partner Integration Team
914,SonarQube,DevOps,4,Partner Integration Team,4,Used by Partner Integration Team
915,Kustomize,Data,2,Partner Integration Team,3,
916,Azure Functions,Cloud,3,Partner Integration Team,10,
917,ArgoCD,API,3,Partner Integration Team,9,
918,IAM,Backend,3,Partner Integration Team,12,Used by Partner Integration Team
919,GraphQL,Database,1,Partner Integration Team,10,Used by Partner Integration Team
920,Mocha,Testing,2,Partner Integration Team,5,
921,Rust,Database,5,Vendor Management Team,9,Used by Vendor Management Team
922,SQL Server,Frontend,1,Vendor Management Team,12,
923,Cucumber,Frontend,5,Vendor Management Team,3,
924,Neo4j,Data,2,Vendor Management Team,7,
925,Route53,Backend,3,Vendor Management Team,7,
926,MariaDB,Data,2,Vendor Management Team,11,
927,PyTest,Security,5,Vendor Management Team,8,
928,Go,Database,5,Vendor Management Team,8,
929,Vault,API,2,Vendor Management Team,6,
930,Helm,Testing,3,Vendor Management Team,10,Used by Vendor Management Team
931,ActiveMQ,Monitoring,4,Vendor Management Team,3,Used by Vendor Management Team
932,Spring Boot,Cloud,3,Vendor Management Team,11,
933,Kotlin,Monitoring,1,Vendor Management Team,2,
934,Oracle,API,3,Vendor Management Team,11,
935,Jest,Testing,2,Vendor Management Team,10,Used by Vendor Management Team
936,Jenkins,Data,5,Vendor Management Team,4,
937,Python,Security,3,Vendor Management Team,10,
938,Kubernetes,Frontend,5,Vendor Management Team,3,Used by Vendor Management Team
939,Travis CI,API,3,Vendor Management Team,7,
940,REST API,Frontend,2,Vendor Management Team,10,
941,PHP,DevOps,1,Procurement Team,3,
942,F#,API,3,Procurement Team,2,
943,Cypress,Cloud,2,Procurement Team,10,
944,Consul,Database,2,Procurement Team,8,
945,CloudFront,Database,3,Procurement Team,7,
946,Python,Frontend,4,Procurement Team,6,
947,Azure Functions,Database,2,Procurement Team,6,
948,Jest,DevOps,1,Procurement Team,7,Used by Procurement Team
949,Laravel,Backend,5,Procurement Team,5,
950,GitLab CI,Testing,1,Procurement Team,12,
951,SQL Server,Data,1,Procurement Team,8,Used by Procurement Team
952,Echo,Security,1,Procurement Team,8,Used by Procurement Team
953,GraphQL,Security,3,Procurement Team,11,Used by Procurement Team
954,Scala,Security,5,Procurement Team,5,
955,Mocha,Data,4,Procurement Team,10,
956,MySQL,Frontend,3,Procurement Team,3,
957,Redis,Monitoring,1,Procurement Team,2,
958,Selenium,Testing,2,Procurement Team,10,
959,Ruby on Rails,Security,2,Procurement Team,4,
960,FastAPI,Backend,2,Procurement Team,2,
961,Spring Boot,Testing,5,Finance Tech Team,7,Used by Finance Tech Team
962,CouchDB,Testing,5,Finance Tech Team,7,
963,Linkerd,Data,5,Finance Tech Team,11,
964,Jest,API,4,Finance Tech Team,2,Used by Finance Tech Team
965,Istio,Testing,1,Finance Tech Team,5,Used by Finance Tech Team
966,Cognito,Monitoring,3,Finance Tech Team,7,
967,Flask,API,5,Finance Tech Team,3,
968,IAM,DevOps,1,Finance Tech Team,9,
969,TestNG,API,5,Finance Tech Team,10,
970,Swift,DevOps,3,Finance Tech Team,2,Used by Finance Tech Team
971,GitHub Actions,Security,2,Finance Tech Team,4,
972,CloudFormation,Data,3,Finance Tech Team,10,
973,Google Cloud Functions,DevOps,4,Finance Tech Team,7,Used by Finance Tech Team
974,Kotlin,DevOps,2,Finance Tech Team,12,
975,C#,Security,2,Finance Tech Team,6,Used by Finance Tech Team
976,Laravel,Testing,3,Finance Tech Team,7,Used by Finance Tech Team
977,Jenkins,Frontend,2,Finance Tech Team,5,
978,Terraform,DevOps,2,Finance Tech Team,6,
979,Playwright,Monitoring,1,Finance Tech Team,2,
980,Kustomize,Database,1,Finance Tech Team,4,
981,Grafana,Monitoring,1,HR Tech Team,7,
982,CloudWatch,Cloud,3,HR Tech Team,8,
983,Kotlin,Testing,5,HR Tech Team,8,Used by HR Tech Team
984,ASP.NET Core,Monitoring,2,HR Tech Team,2,
985,S3,Security,3,HR Tech Team,8,
986,Vue.js,DevOps,5,HR Tech Team,12,Used by HR Tech Team
987,CouchDB,Backend,5,HR Tech Team,11,
988,Elixir,DevOps,1,HR Tech Team,12,
989,Fargate,Data,2,HR Tech Team,5,
990,PyTest,Monitoring,3,HR Tech Team,2,
991,Kafka,Security,4,HR Tech Team,3,
992,Go,Cloud,3,HR Tech Team,12,
993,Node.js,Security,5,HR Tech Team,6,
994,Consul,API,2,HR Tech Team,9,Used by HR Tech Team
995,Selenium,API,2,HR Tech Team,3,
996,Angular,Security,2,HR Tech Team,9,Used by HR Tech Team
997,Redis,Database,1,HR Tech Team,12,
998,Chef,Data,4,HR Tech Team,2,
999,Scala,Testing,2,HR Tech Team,4,Used by HR Tech Team
1000,Lambda,Database,2,HR Tech Team,7,Used by HR Tech Team
1001,CircleCI,DevOps,3,Legal Tech Team,7,Used by Legal Tech Team
1002,Clojure,Frontend,3,Legal Tech Team,10,
1003,GitLab CI,Security,1,Legal Tech Team,3,Used by Legal Tech Team
1004,Rust,Cloud,4,Legal Tech Team,4,
1005,Consul,Database,5,Legal Tech Team,11,Used by Legal Tech Team
1006,Istio,Cloud,5,Legal Tech Team,12,
1007,TypeScript,DevOps,5,Legal Tech Team,11,
1008,Chef,Data,2,Legal Tech Team,2,
1009,FastAPI,Data,3,Legal Tech Team,8,
1010,Oracle,DevOps,1,Legal Tech Team,3,
1011,Docker,Database,1,Legal Tech Team,11,
1012,CloudFormation,Backend,2,Legal Tech Team,10,
1013,SonarQube,DevOps,4,Legal Tech Team,10,
1014,C#,Cloud,4,Legal Tech Team,12,Used by Legal Tech Team
1015,Jenkins,Data,3,Legal Tech Team,8,Used by Legal Tech Team
1016,ASP.NET Core,Security,1,Legal Tech Team,6,
1017,Kustomize,DevOps,1,Legal Tech Team,9,
1018,REST API,API,5,Legal Tech Team,12,Used by Legal Tech Team
1019,Mocha,Monitoring,2,Legal Tech Team,6,
1020,Kafka,Cloud,4,Legal Tech Team,8,
